ds,y,fechamento,abertura,y_lag_1,fechamento_lag_1,max_lag_1,min_lag_1,amplitude_lag_1,delta_lag_1,variacao_lag_1,volatilidadeS_lag_1,volatilidadeM_lag_1,volatilidadeT_lag_1,volatilidadeSE_lag_1,volatilidadeA_lag_1,maS_lag_1,maM_lag_1,maT_lag_1,maSE_lag_1,maA_lag_1
2017-02-08,1,0.6359999999999957,0.17799999999999727,1.0,0.20599999999999596,-0.5120000000000005,0.005000000000002558,-0.517000000000003,1.140999999999984,0.017605261492853342,-0.02978350933613949,-0.0048517020139206,-0.019895190460811785,-0.0001914647636354072,-0.0011741713087809469,-0.09440000000000737,0.09672727272726434,0.013227272727270645,0.05706060606061669,0.09947727272727036
2017-02-09,1,0.13000000000000966,0.6499999999999915,1.0,0.6359999999999957,0.01999999999999602,-0.1980000000000004,0.21799999999999642,0.4579999999999984,0.0071262910889957655,0.09377617895949708,-0.00025121530149041504,-0.01779334116144704,-4.772508181438706e-05,0.000637694032038838,-0.00019999999999242846,0.14409090909092015,0.04674242424242436,0.05702272727272373,0.10143181818182256
2017-02-10,1,1.1599999999999966,0.1150000000000091,1.0,0.13000000000000966,0.46700000000001296,0.8470000000000013,-0.37999999999998835,-0.5199999999999818,-0.008117642678887253,-0.015236083691215874,-0.0005157813735202632,-0.0002764605921287133,-0.0016772755299513387,-0.0005820072948748978,0.07739999999999725,0.14840909090908383,0.05101515151515201,0.062189393939398485,0.10348484848484674
2017-02-13,1,0.8430000000000035,1.1599999999999966,1.0,1.1599999999999966,0.9899999999999949,0.347999999999999,0.6419999999999959,1.0449999999999875,0.01608244543752589,0.17456259595325085,0.0325009945128234,-0.03812254565864803,0.0034424614234340734,0.0024721763278748865,0.2342000000000013,0.18149999999999977,0.03140909090909361,0.07547727272726945,0.10760606060605937
2017-02-14,-1,-0.25500000000000966,0.8460000000000036,1.0,0.8430000000000035,0.8019999999999925,1.1899999999999977,-0.38800000000000523,-0.31699999999999307,-0.0051071862601018495,-0.34230450492446735,0.013898982990141806,0.0055264075422720715,-0.0005637976286987367,0.0011219229787430285,0.5949999999999989,0.20554545454545803,0.04257575757575438,0.07493181818182393,0.10960984848485111
2017-02-15,1,1.2630000000000052,-0.25900000000000034,-1.0,-0.25500000000000966,0.016000000000005343,0.12600000000000477,-0.10999999999999943,-1.1010000000000133,-0.01660099596194056,0.12524867355791786,-0.056808443090365146,-0.006790232015592923,-0.0004234608856051869,-0.0006168769450451972,0.5028000000000077,0.1254090909090877,0.052348484848486976,0.06908333333333161,0.11066666666665981
2017-02-16,-1,-0.16200000000000614,1.266999999999996,1.0,1.2630000000000052,0.9060000000000059,0.4609999999999985,0.4450000000000074,1.5220000000000056,0.022799529692463044,0.09860411725895979,0.03630587514740258,-0.02721249707344975,0.006419353553020035,0.0016518915706354997,0.6281999999999925,0.19654545454544348,0.10265151515152127,0.07814393939393227,0.11212121212122383
2017-02-17,-1,-0.06599999999998829,-0.16500000000000625,-1.0,-0.16200000000000614,0.4399999999999977,0.9489999999999981,-0.5090000000000003,-1.429000000000002,-0.02137433613208159,0.06230599883013066,0.0042291581176102655,-0.04012942941270181,0.00021906707314778284,0.0001211908323436317,0.569800000000015,0.18104545454546894,0.13075757575757052,0.07711363636363444,0.11054545454544495
2017-02-20,1,0.7849999999999966,-0.057999999999992724,-1.0,-0.06599999999998829,-0.6370000000000005,-0.5030000000000001,-0.13400000000000034,0.09900000000001796,0.0014539698096530753,-0.04364245425562496,-0.002699595831272994,-0.0008064037105451893,8.645869953638474e-05,-0.00608669035155518,0.32459999999998956,0.15427272727272623,0.12259090909089565,0.07620454545454436,0.10356818181818994
2017-02-21,1,0.5190000000000055,0.7800000000000011,1.0,0.7849999999999966,0.855000000000004,0.597999999999999,0.257000000000005,0.8429999999999893,0.012440869465125376,-0.011960482139980022,0.0074569769090825355,-0.004938694543962452,-0.0010633294870120436,0.0009989462175902242,0.3130000000000024,0.19922727272725638,0.11778787878788677,0.0879772727272794,0.10592045454544774
2017-02-22,-1,-0.4620000000000033,0.5160000000000053,1.0,0.5190000000000055,0.4379999999999882,0.7800000000000011,-0.34200000000001296,-0.2609999999999957,-0.003938729177381134,-0.07890200653994228,-0.002463695035502367,-0.010277235135732421,-0.006700973818024036,-0.009275998657605977,0.4678000000000111,0.2318636363636415,0.1406363636363679,0.081454545454541,0.11536363636363944
2017-02-23,-1,-1.1290000000000049,-0.4620000000000033,-1.0,-0.4620000000000033,-0.05999999999998806,-0.2540000000000049,0.19400000000001683,-0.9780000000000086,-0.014219499901553367,-0.08459317040733949,0.010544277983011274,0.003281141455687364,0.0012910523181685063,-0.0010065518210531366,0.12279999999999802,0.18495454545454493,0.13072727272726326,0.07796969696969569,0.10985227272727371
2017-02-24,-1,-0.7989999999999924,-1.132000000000005,-1.0,-1.1290000000000049,0.43599999999999284,-1.0030000000000001,1.438999999999993,-0.6670000000000016,-0.009769515407617637,0.25354764838050836,0.012124749816531999,0.005063900885518224,0.003858028719014417,0.0005514696986005374,-0.07059999999999889,0.07781818181818778,0.09683333333334332,0.0629924242424238,0.1009053030303022
